"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"225300_at",1.35194152629267,-0.111017582655901,11.1610049724404,1.21621064008486e-21,2.71635280827777e-20,38.4556375721022,"Up"
"219493_at",1.74018993633864,-0.0730794260688281,11.1541525803021,1.26950940267536e-21,2.82696684464016e-20,38.4130760289902,"Up"
"227297_at",-1.37180273934576,0.117708443491206,-11.15092987174,1.29537630028932e-21,2.87788294263789e-20,38.3930601333221,"Down"
"203210_s_at",1.295119375192,-0.0979148497843524,11.1491898797041,1.30956036273412e-21,2.90821335631552e-20,38.382253490565,"Up"
"223749_at",-1.00201253851095,0.0523234423613166,-11.1437625824638,1.35480661349822e-21,3.00625209387236e-20,38.3485471204273,"Down"
"228739_at",-1.57467649650099,0.0604635245652531,-11.1387849740385,1.39767494947157e-21,3.09760348043608e-20,38.3176351262819,"Down"
"220238_s_at",1.16930062717364,-0.0806977344233646,11.1349856348694,1.43130496202619e-21,3.16956657751244e-20,38.2940414482258,"Up"
"205261_at",-3.06010472481331,0.334639296447362,-11.1320443279625,1.45789395889025e-21,3.2271397652763e-20,38.2757767076976,"Down"
"209189_at",-1.97937974723581,0.150389887347551,-11.1301719375054,1.47507645107315e-21,3.26385289204471e-20,38.2641499329504,"Down"
"238906_s_at",-1.08986157872134,0.042641561161859,-11.1286642281304,1.48905921085258e-21,3.29212747081944e-20,38.2547878343349,"Down"
"230959_at",-1.65262274304115,0.0569678140295447,-11.126332002141,1.51094984609646e-21,3.33917473061132e-20,38.2403061878711,"Down"
"234224_at",-1.28246260930511,0.0277340252851331,-11.1208669772343,1.56351240900734e-21,3.45115223909875e-20,38.2063731591596,"Down"
"227211_at",1.1171298970233,-0.0586175809456772,11.1205261291754,1.56685052516761e-21,3.45712479675299e-20,38.2042568518076,"Up"
"225836_s_at",1.01139124836847,-0.0595047084780572,11.1200302791313,1.57171937356701e-21,3.46646860628385e-20,38.2011781582856,"Up"
"228772_at",-1.15766720423894,0.1204507971905,-11.1198256781064,1.57373279128059e-21,3.46939181874025e-20,38.1999078112242,"Down"
"1554020_at",1.27554417602389,-0.110421637073636,11.1197666778702,1.5743138733049e-21,3.46939181874025e-20,38.1995414852093,"Up"
"207016_s_at",-1.84221283899315,0.0953530104657298,-11.1178506814938,1.59330105426788e-21,3.50840657036231e-20,38.1876453906586,"Down"
"228956_at",2.28056394165611,-0.206578445399614,11.1141068824989,1.63106386074618e-21,3.58891945021861e-20,38.1644014401917,"Up"
"226671_at",-1.14750503609353,0.0812169790408037,-11.1140957142456,1.63117783882821e-21,3.58891945021861e-20,38.1643321016834,"Down"
"207957_s_at",-1.50258411461352,0.17457031578501,-11.1136345008533,1.63589172408089e-21,3.59784312204838e-20,38.1614686482883,"Down"
"244427_at",1.2159190288387,-0.108630515693006,11.113359600848,1.63870783913252e-21,3.60258749917855e-20,38.159761931926,"Up"
"202404_s_at",2.0932988257419,-0.0559213611061802,11.1108454883781,1.66468839379888e-21,3.65823303581003e-20,38.1441532864364,"Up"
"220658_s_at",2.21457810910073,-0.102251040380095,11.1093665475465,1.68016332097324e-21,3.6907565116196e-20,38.1349715972967,"Up"
"230482_at",-1.42387261385311,0.113781753478386,-11.1061992619632,1.713789191622e-21,3.76008924766986e-20,38.1153086402332,"Down"
"236712_at",-1.8787352111966,0.105670892777819,-11.10591006863,1.71689272528413e-21,3.76538747512675e-20,38.11351331845,"Down"
"203758_at",-1.02871748887929,0.11626572328501,-11.096914423525,1.81628494563115e-21,3.97858090554421e-20,38.0576706849306,"Down"
"226905_at",-1.21003274906889,0.0845087834573472,-11.0954269207284,1.83326511671675e-21,4.0141678116335e-20,38.0484371454486,"Down"
"229519_at",1.1735870935027,-0.0816349972418639,11.0941294092298,1.84820587573037e-21,4.04526246019048e-20,38.0403830743118,"Up"
"220239_at",1.40868958982527,-0.0658018780362426,11.0867049247647,1.93606672902584e-21,4.22910301276419e-20,37.994298969459,"Up"
